SRV_CD;SRV_NM_AR;SRV_NM_EN;SRV_GRP;DOMN;DPT_NO;PRCGRP_ID;UNT_CNT;SRV_TY;SRV_NAT;DISC;DISC_VL;DRPRNT;MNG;SRVRAT;Srv_by1;SRV_BY1_GRP;Srv_by2;SRV_BY2_GRP;Srv_by3;SRV_BY3_GRP;Srv_by4;SRV_BY4_GRP;Srv_by5;SRV_BY5_GRP;UNT_NO1;UNT_NO2;UNT_NO3;UNT_NO4;UNT_NO5;PAY_MD;PRC1;STAT;STAT_DT;PRC2;PRC3;PRC_TYP;MNGEXP;TAX1;TAX2;AUTO_SRV_CDS;UNTS;MINS;ENTEREDBY;UPDATEDBY;ENTRYDATE;UPDATEDATE;MSRV_CD;SKILL_LVL;TYPSKILL_LVL;EFCT;GLNO1;GLNO2;GLNO3;GLNO4;CLCSRV;CNSLT;CNSLTDYS;AZTRTY;MITMCD;STATE;OPMED;PHRM;AZTRTY_RTRN;WF_TR_NO;WF_LN_NO;DPTS;SRV_INV_CD;ANAID
080707;زيارة طبيب منزلية استشارى رمـــد;NULL;NULL;NULL;0807;NULL;1;2;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;اشرف زكى;NULL;2009-06-28 04:37:57.000;NULL;0807;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
080708;زيارة طبيب منزلية اخصائى رمـــد;NULL;NULL;NULL;0807;NULL;1;2;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;اشرف زكى;NULL;2009-06-28 04:38:43.000;NULL;0807;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
080709;كشف نظارة استشارى;NULL;NULL;NULL;0807;NULL;1;2;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;اشرف زكى;NULL;2009-07-14 09:23:33.000;NULL;0807;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
080710;كشف نظارة اخصائى;NULL;NULL;NULL;0807;NULL;1;2;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;اشرف زكى;NULL;2009-07-14 09:24:11.000;NULL;0807;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
080711;كشف نظارة (فحص قاع العين;NULL;NULL;NULL;0807;NULL;1;2;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;اشرف زكى;اشرف زكى;2009-07-16 13:50:26.000;2009-07-16 15:06:15.000;0807;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
080712;تصوير قاع العين بالفلوروسين (عين;NULL;NULL;NULL;0807;NULL;1;2;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;اشرف زكى;NULL;2009-07-16 13:52:01.000;NULL;0807;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
080713;تصوير قاع العين بالفلوروسين (عينين;NULL;NULL;NULL;0807;NULL;1;2;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;اشرف زكى;NULL;2009-07-16 13:53:15.000;NULL;0807;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
080714;تصوير ملون قاع العين (عين;NULL;NULL;NULL;0807;NULL;1;2;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;اشرف زكى;NULL;2009-07-16 13:55:20.000;NULL;0807;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
080715;تصوير ملون قاع العين (عينين;NULL;NULL;NULL;0807;NULL;1;2;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;اشرف زكى;NULL;2009-07-16 13:55:53.000;NULL;0807;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
080716;اختبار مجال النظر بالكمبيوتر - عين;NULL;NULL;NULL;0807;NULL;1;2;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;اشرف زكى;مدير;2009-07-16 13:57:16.000;2011-05-12 13:28:22.000;0807;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
